2022/10/18, 11:30 - 16:30h

Ts = 62ms	ti = 1.98s	tp = 4.96min
Leq (dB SPL)	Minutes écoulées
59.778			4.96
55.640			4.96
54.572			4.96
54.240			4.96
63.353			4.96
76.061			4.96
72.709			4.96
72.477			4.96
67.827			4.96
75.848			4.96
72.490			4.96
62.029			4.96
60.309			4.96
62.182			4.96
62.087			4.96
62.731			4.96
62.694			4.96
62.622			4.96
64.313			4.96
56.913			4.96
56.241			4.96
--->13:20h, Leaving the room.

57.858			4.96
57.938			4.96
55.765			4.96
54.083			4.96
54.422			4.96
54.275			4.96
54.392			4.96
54.273			4.96
53.902			4.96
53.564			4.96
53.750			4.96
53.903			4.96
53.678			4.96
53.562			4.96
53.859			4.96
54.348			4.96
---> 15:53h, Reentering the room

57.046			4.96
63.426			4.96
58.335			4.96
54.467			4.96
54.675			4.96
54.664			4.96
57.266			4.96
